age,job,marital,education,balance,housing,duration,campaign,approval
63.0,retired,married,secondary,415,yes,323.0,1,no
48.0,management,married,tertiary,5887,no,227.0,2,no
48.0,services,married,secondary,1355,no,134.0,2,no
56.0,admin.,married,secondary,16873,no,223.0,1,no
51.0,blue-collar,divorced,secondary,203,yes,134.0,1,no
31.0,services,married,secondary,338,yes,155.0,1,no
29.0,technician,married,secondary,444,yes,130.0,4,no
41.0,management,married,secondary,0,no,630.0,3,no
32.0,technician,single,tertiary,360,no,164.0,2,no
37.0,management,married,tertiary,0,no,268.0,2,yes
42.0,entrepreneur,divorced,tertiary,2,yes,380.0,1,no
31.0,management,single,tertiary,6248,yes,154.0,2,no
41.0,services,married,tertiary,412,yes,154.0,5,no
56.0,retired,married,secondary,344,yes,221.0,1,no
54.0,management,divorced,tertiary,3222,no,67.0,2,no
41.0,blue-collar,divorced,secondary,174,yes,367.0,2,no
40.0,technician,single,secondary,591,no,87.0,6,no
50.0,blue-collar,divorced,primary,388,no,701.0,1,no
40.0,unemployed,married,secondary,219,yes,204.0,2,no
27.0,admin.,divorced,secondary,451,yes,652.0,1,yes
60.0,retired,married,primary,5,no,63.0,2,no
28.0,admin.,single,secondary,177,yes,150.0,1,no
52.0,services,married,secondary,657,no,398.0,2,yes
37.0,management,married,tertiary,1315,no,224.0,1,yes
51.0,blue-collar,married,primary,1466,yes,406.0,2,no
41.0,technician,single,secondary,879,no,60.0,4,no
35.0,blue-collar,single,primary,293,yes,521.0,2,no
38.0,admin.,married,secondary,424,yes,279.0,1,no
34.0,blue-collar,married,secondary,1831,yes,203.0,2,no
39.0,blue-collar,married,primary,111,no,201.0,2,no
27.0,services,single,secondary,-195,yes,391.0,1,yes
32.0,management,single,tertiary,3616,no,165.0,2,no
57.0,blue-collar,married,secondary,14093,no,231.0,5,no
41.0,unknown,single,tertiary,1567,no,291.0,2,no
41.0,admin.,married,tertiary,5426,yes,149.0,2,no
30.0,admin.,single,tertiary,261,no,233.0,1,no
36.0,blue-collar,divorced,secondary,2843,no,473.0,1,no
31.0,unemployed,single,primary,406,no,736.0,1,yes
36.0,blue-collar,married,secondary,0,yes,337.0,1,no
38.0,management,single,tertiary,493,yes,553.0,1,no
49.0,technician,married,secondary,5996,no,345.0,2,no
57.0,services,single,primary,3777,yes,65.0,2,no
34.0,management,single,secondary,524,no,9.0,1,no
32.0,management,single,tertiary,574,yes,259.0,2,no
37.0,blue-collar,married,secondary,427,yes,371.0,3,no
33.0,self-employed,married,tertiary,483,yes,280.0,2,no
56.0,unemployed,married,primary,3391,no,243.0,1,yes
27.0,housemaid,married,primary,0,yes,435.0,3,no
21.0,student,single,secondary,2488,no,258.0,6,yes
58.0,management,married,tertiary,1517,yes,7.0,5,no
32.0,self-employed,married,secondary,217,yes,317.0,5,no
33.0,blue-collar,single,secondary,22,no,76.0,2,no
25.0,student,single,secondary,331,no,170.0,4,yes
25.0,technician,single,secondary,505,no,386.0,2,yes
30.0,services,married,secondary,1808,yes,83.0,2,no
22.0,admin.,single,secondary,4111,no,65.0,1,no
39.0,blue-collar,married,primary,52,no,69.0,1,no
46.0,management,divorced,tertiary,25,no,564.0,2,no
31.0,admin.,divorced,secondary,1890,yes,588.0,1,no
45.0,blue-collar,married,primary,419,no,113.0,4,no
32.0,technician,married,secondary,2693,yes,16.0,1,no
36.0,blue-collar,married,secondary,-231,no,779.0,2,no
51.0,management,single,tertiary,-55,yes,281.0,2,no
34.0,self-employed,single,tertiary,462,no,1877.0,3,yes
24.0,unemployed,single,secondary,119,no,51.0,1,no
45.0,technician,single,secondary,586,no,32.0,3,no
32.0,blue-collar,single,secondary,228,no,176.0,1,no
77.0,retired,divorced,tertiary,4659,no,161.0,1,yes
41.0,blue-collar,married,primary,168,yes,187.0,3,no
37.0,blue-collar,married,primary,0,yes,24.0,1,no
43.0,blue-collar,married,unknown,-715,yes,67.0,3,no
48.0,admin.,married,unknown,0,yes,85.0,1,no
27.0,technician,single,secondary,769,yes,317.0,2,no
29.0,admin.,single,secondary,428,yes,54.0,1,no
34.0,management,single,tertiary,0,no,71.0,1,no
52.0,management,married,tertiary,-970,yes,489.0,1,yes
60.0,management,married,unknown,6313,no,39.0,2,no
32.0,management,divorced,tertiary,948,no,204.0,2,no
32.0,management,single,tertiary,0,yes,455.0,2,no
56.0,services,divorced,unknown,1877,yes,86.0,1,no
31.0,management,single,tertiary,874,yes,190.0,2,no
42.0,admin.,married,secondary,323,yes,280.0,2,no
35.0,management,married,tertiary,106,no,588.0,2,no
56.0,retired,married,primary,1906,no,45.0,9,no
48.0,technician,married,secondary,1152,yes,168.0,5,no
46.0,admin.,married,secondary,179,yes,194.0,4,no
37.0,technician,single,unknown,391,yes,103.0,3,no
41.0,entrepreneur,married,unknown,89,yes,333.0,2,no
36.0,management,single,tertiary,442,yes,102.0,3,no
45.0,unemployed,divorced,primary,-249,yes,92.0,1,no
55.0,entrepreneur,married,secondary,8104,no,213.0,2,no
39.0,technician,married,secondary,501,no,289.0,1,no
35.0,technician,divorced,secondary,308,no,77.0,2,no
55.0,admin.,married,secondary,602,no,324.0,3,yes
55.0,technician,married,secondary,273,yes,84.0,3,no
27.0,self-employed,single,secondary,50,no,168.0,1,no
34.0,technician,married,secondary,1641,yes,380.0,1,no
34.0,blue-collar,married,tertiary,20,no,10.0,1,no
25.0,admin.,single,secondary,4590,yes,199.0,2,no
43.0,services,married,secondary,978,yes,82.0,2,no
28.0,management,single,tertiary,80,no,676.0,2,yes
31.0,admin.,single,secondary,2104,yes,455.0,1,no
78.0,housemaid,married,secondary,499,no,80.0,4,no
45.0,blue-collar,divorced,secondary,1269,yes,549.0,2,no
48.0,technician,married,tertiary,310,no,135.0,1,no
32.0,blue-collar,single,secondary,1143,yes,412.0,1,no
42.0,technician,married,secondary,2980,no,101.0,3,no
37.0,management,single,tertiary,37,no,253.0,2,no
40.0,admin.,single,secondary,462,yes,272.0,1,no
32.0,admin.,married,secondary,1031,yes,84.0,1,no
42.0,management,married,tertiary,9009,no,135.0,2,no
43.0,admin.,married,secondary,-465,yes,166.0,1,no
44.0,admin.,married,secondary,5181,yes,18.0,7,no
37.0,admin.,married,secondary,176,yes,147.0,2,no
37.0,unknown,married,unknown,1699,no,63.0,1,no
37.0,admin.,married,tertiary,0,yes,65.0,2,no
28.0,technician,single,tertiary,172,yes,194.0,2,no
32.0,services,single,secondary,0,no,333.0,2,no
34.0,admin.,single,secondary,6979,yes,14.0,5,no
40.0,admin.,divorced,secondary,6,no,140.0,1,no
34.0,services,married,secondary,-62,yes,109.0,3,no
34.0,self-employed,married,tertiary,1972,yes,61.0,2,no
34.0,admin.,married,tertiary,899,yes,377.0,3,no
37.0,services,single,secondary,21,yes,96.0,1,no
36.0,technician,married,secondary,23,yes,152.0,2,no
56.0,retired,married,secondary,-1206,yes,382.0,2,yes
49.0,blue-collar,married,primary,0,yes,97.0,6,no
33.0,self-employed,married,secondary,215,yes,543.0,12,no
30.0,management,single,tertiary,1372,no,240.0,2,no
36.0,services,married,secondary,1981,no,48.0,2,no
23.0,student,single,secondary,9216,no,471.0,2,no
57.0,retired,divorced,secondary,39,yes,354.0,3,no
27.0,blue-collar,single,secondary,5563,yes,435.0,2,no
38.0,services,married,secondary,1,no,152.0,2,no
42.0,technician,married,tertiary,782,no,285.0,1,no
75.0,retired,married,secondary,3771,no,185.0,1,yes
34.0,technician,single,tertiary,992,yes,301.0,1,no
48.0,technician,married,secondary,1526,no,273.0,2,no
35.0,technician,single,tertiary,2658,yes,768.0,2,yes
39.0,management,divorced,tertiary,1315,yes,1337.0,4,no
29.0,blue-collar,single,tertiary,455,no,403.0,1,yes
45.0,technician,single,tertiary,0,yes,139.0,2,no
42.0,technician,married,secondary,2030,yes,196.0,1,no
29.0,technician,married,secondary,1599,yes,115.0,1,no
38.0,services,single,secondary,-196,yes,60.0,1,no
56.0,retired,married,secondary,1333,no,17.0,14,no
36.0,technician,single,secondary,9149,yes,141.0,3,no
25.0,blue-collar,single,secondary,-350,yes,95.0,3,no
38.0,technician,married,tertiary,432,yes,10.0,2,no
57.0,self-employed,married,secondary,11494,no,198.0,1,no
31.0,management,married,tertiary,-253,no,220.0,4,no
42.0,management,married,tertiary,372,yes,654.0,2,yes
45.0,technician,married,secondary,1410,no,71.0,2,no
30.0,blue-collar,married,secondary,975,yes,256.0,2,no
49.0,blue-collar,married,primary,305,yes,834.0,10,no
49.0,services,married,secondary,400,no,151.0,3,no
53.0,retired,married,tertiary,-22,yes,20.0,3,no
37.0,technician,married,secondary,4030,yes,178.0,5,no
49.0,blue-collar,married,primary,365,no,59.0,2,no
41.0,self-employed,married,primary,204,no,111.0,7,no
54.0,management,married,primary,1691,yes,186.0,1,no
32.0,services,single,secondary,406,yes,227.0,1,no
33.0,technician,married,secondary,-204,no,297.0,3,no
33.0,technician,married,secondary,359,yes,210.0,1,no
36.0,blue-collar,married,primary,123,yes,9.0,1,no
35.0,technician,married,tertiary,0,yes,112.0,1,no
52.0,unknown,married,secondary,142,no,112.0,6,no
40.0,entrepreneur,married,tertiary,3571,no,222.0,3,no
44.0,technician,single,secondary,33,yes,195.0,3,no
45.0,blue-collar,single,secondary,0,yes,768.0,2,no
30.0,student,single,secondary,3096,no,123.0,1,no
48.0,technician,divorced,secondary,20,no,145.0,3,no
33.0,blue-collar,married,secondary,3576,yes,124.0,1,no
57.0,technician,married,unknown,206,yes,216.0,3,no
57.0,housemaid,married,primary,7082,no,69.0,3,no
51.0,unemployed,married,tertiary,1634,yes,168.0,4,no
34.0,admin.,single,secondary,1,yes,483.0,7,no
50.0,self-employed,married,tertiary,4012,no,690.0,3,no
44.0,management,married,tertiary,3762,no,125.0,12,no
27.0,admin.,married,secondary,-247,yes,344.0,2,no
50.0,blue-collar,married,secondary,606,yes,673.0,2,no
36.0,management,married,tertiary,0,yes,60.0,1,no
42.0,management,married,secondary,-189,yes,247.0,2,no
32.0,unemployed,single,secondary,0,no,123.0,2,no
42.0,management,married,tertiary,484,yes,144.0,2,no
43.0,technician,married,secondary,0,no,9.0,2,no
31.0,management,married,tertiary,395,yes,155.0,3,no
32.0,management,married,tertiary,2349,no,134.0,5,no
55.0,blue-collar,divorced,primary,410,no,221.0,2,no
58.0,retired,married,primary,3401,yes,84.0,3,no
46.0,blue-collar,married,primary,222,no,71.0,2,no
55.0,blue-collar,married,secondary,989,yes,246.0,4,no
34.0,management,married,tertiary,415,no,361.0,2,no
28.0,unemployed,single,secondary,16,no,119.0,4,no
42.0,technician,divorced,tertiary,7190,yes,375.0,2,no
29.0,blue-collar,single,secondary,482,no,1097.0,3,yes
54.0,housemaid,married,secondary,209,yes,97.0,1,no
32.0,technician,single,secondary,0,no,181.0,2,no
39.0,technician,single,tertiary,5803,no,83.0,3,no
53.0,entrepreneur,married,tertiary,624,no,180.0,4,no
58.0,technician,married,tertiary,883,no,543.0,1,no
40.0,self-employed,married,secondary,1516,yes,373.0,1,no
29.0,student,single,secondary,872,yes,230.0,1,no
33.0,technician,married,tertiary,-988,yes,83.0,3,no
38.0,admin.,single,secondary,902,yes,58.0,13,no
56.0,services,divorced,secondary,1007,no,88.0,6,no
40.0,services,married,secondary,0,yes,297.0,1,no
24.0,blue-collar,single,secondary,174,yes,487.0,1,yes
46.0,management,married,secondary,12186,no,29.0,3,no
35.0,self-employed,married,secondary,524,yes,484.0,4,no
35.0,blue-collar,single,tertiary,0,yes,262.0,4,no
34.0,technician,married,secondary,4,yes,644.0,1,no
35.0,housemaid,married,tertiary,11219,no,699.0,2,no
38.0,technician,single,tertiary,0,no,247.0,2,no
50.0,blue-collar,married,primary,5776,no,49.0,3,no
51.0,blue-collar,divorced,primary,37,yes,341.0,1,no
59.0,self-employed,married,tertiary,593,no,64.0,2,no
32.0,blue-collar,married,secondary,1148,yes,121.0,1,no
37.0,blue-collar,single,secondary,3561,yes,98.0,1,no
42.0,admin.,divorced,secondary,63,no,88.0,6,no
40.0,student,married,secondary,260,no,197.0,6,no
28.0,technician,single,tertiary,2269,yes,331.0,1,no
47.0,admin.,married,secondary,1060,yes,83.0,3,no
27.0,self-employed,married,secondary,-220,yes,138.0,2,no
41.0,management,married,tertiary,49,yes,312.0,5,no
34.0,admin.,married,tertiary,69,no,120.0,3,yes
50.0,blue-collar,married,primary,4108,yes,526.0,2,yes
47.0,blue-collar,married,secondary,480,yes,211.0,2,no
53.0,services,married,secondary,4994,no,62.0,6,no
53.0,technician,divorced,secondary,0,yes,135.0,5,no
47.0,management,married,tertiary,3681,no,101.0,2,no
49.0,entrepreneur,divorced,unknown,-701,yes,988.0,2,yes
29.0,management,married,tertiary,451,no,451.0,1,no
45.0,blue-collar,divorced,primary,-311,yes,1030.0,1,yes
38.0,entrepreneur,married,secondary,593,yes,1484.0,24,yes
32.0,blue-collar,married,secondary,759,yes,317.0,5,yes
70.0,retired,divorced,primary,4531,no,445.0,1,no
65.0,retired,divorced,primary,1840,no,383.0,2,no
56.0,blue-collar,married,secondary,345,yes,605.0,1,no
35.0,blue-collar,married,secondary,1287,yes,330.0,2,no
56.0,management,married,unknown,353,no,171.0,2,no
56.0,technician,married,secondary,205,no,442.0,2,no
49.0,entrepreneur,married,secondary,687,yes,772.0,1,yes
38.0,unemployed,married,primary,1147,yes,249.0,5,no
35.0,management,married,tertiary,4286,yes,357.0,1,no
38.0,admin.,married,tertiary,605,no,147.0,2,no
49.0,blue-collar,married,secondary,8545,yes,199.0,7,no
55.0,management,married,unknown,559,no,271.0,2,no
43.0,blue-collar,single,primary,2,yes,783.0,3,no
43.0,management,married,tertiary,2,no,472.0,2,no
25.0,admin.,single,tertiary,760,yes,223.0,3,yes
30.0,blue-collar,married,primary,1317,yes,395.0,2,no
46.0,blue-collar,married,secondary,182,no,56.0,1,no
50.0,admin.,married,primary,276,no,641.0,6,no
35.0,entrepreneur,married,secondary,2971,no,429.0,4,yes
26.0,unemployed,single,secondary,1064,no,113.0,1,no
45.0,admin.,married,unknown,1783,no,11.0,11,no
37.0,blue-collar,married,secondary,-67,no,157.0,1,no
60.0,self-employed,single,tertiary,179,no,79.0,4,no
38.0,management,married,tertiary,1199,no,178.0,1,yes
47.0,blue-collar,married,primary,214,yes,168.0,1,no
33.0,technician,married,secondary,6699,no,425.0,1,no
51.0,unemployed,married,secondary,1760,no,162.0,1,no
35.0,unemployed,married,secondary,978,no,1370.0,3,yes
48.0,admin.,single,secondary,1150,yes,357.0,1,no
37.0,admin.,married,secondary,121,no,22.0,6,no
29.0,technician,single,tertiary,828,yes,215.0,3,no
34.0,admin.,married,secondary,244,yes,56.0,4,no
32.0,services,married,primary,228,yes,1017.0,6,yes
30.0,management,single,tertiary,424,no,298.0,4,yes
47.0,management,divorced,tertiary,447,no,126.0,1,no
33.0,blue-collar,married,primary,-195,no,9.0,1,no
33.0,management,single,tertiary,1410,yes,8.0,1,no
63.0,retired,married,primary,1084,no,201.0,1,no
51.0,self-employed,divorced,primary,10924,no,106.0,2,no
41.0,management,married,tertiary,832,yes,164.0,1,no
56.0,retired,married,tertiary,478,no,97.0,1,no
60.0,management,single,tertiary,0,no,151.0,1,no
41.0,self-employed,single,tertiary,3950,yes,96.0,2,no
37.0,management,single,unknown,504,yes,555.0,1,no
36.0,blue-collar,single,secondary,219,yes,270.0,2,no
57.0,management,married,tertiary,1602,no,339.0,3,no
55.0,management,married,primary,2587,no,328.0,2,yes
44.0,admin.,married,secondary,0,yes,159.0,1,no
47.0,self-employed,married,tertiary,2303,yes,323.0,2,no
31.0,blue-collar,married,secondary,1660,yes,342.0,1,no
35.0,management,married,tertiary,32,yes,180.0,1,no
39.0,management,married,tertiary,278,no,60.0,3,no
50.0,management,married,tertiary,4,no,223.0,1,no
29.0,management,married,tertiary,318,yes,1434.0,2,no
30.0,services,single,secondary,209,yes,30.0,2,no
46.0,services,married,secondary,271,yes,134.0,4,no
27.0,management,single,unknown,3196,no,10.0,2,no
48.0,admin.,divorced,secondary,4099,no,397.0,2,yes
26.0,student,single,secondary,2572,yes,620.0,1,no
36.0,management,single,tertiary,339,no,6.0,6,no
42.0,blue-collar,married,primary,0,yes,209.0,2,no
50.0,housemaid,married,primary,395,yes,419.0,2,no
49.0,blue-collar,married,secondary,2039,yes,283.0,2,no
45.0,management,married,tertiary,5450,no,188.0,2,no
23.0,student,single,secondary,780,no,267.0,1,no
38.0,technician,single,secondary,0,yes,196.0,2,no
32.0,management,single,tertiary,8436,yes,245.0,1,no
60.0,technician,single,primary,11262,no,323.0,1,yes
30.0,entrepreneur,married,secondary,946,yes,1065.0,1,no
58.0,housemaid,married,tertiary,497,no,138.0,5,no
60.0,retired,married,primary,55,no,207.0,1,no
38.0,services,married,secondary,-140,no,456.0,3,no
51.0,technician,married,secondary,-379,yes,261.0,1,no
42.0,admin.,married,secondary,-396,yes,80.0,1,no
30.0,services,single,secondary,0,yes,131.0,6,no
40.0,management,married,primary,733,yes,94.0,7,no
37.0,management,married,tertiary,393,yes,567.0,3,yes
53.0,technician,divorced,primary,7290,yes,153.0,1,no
27.0,services,single,secondary,468,yes,109.0,1,no
39.0,blue-collar,married,secondary,0,yes,53.0,1,no
39.0,blue-collar,married,primary,3705,yes,77.0,1,no
59.0,retired,married,tertiary,9676,no,234.0,2,yes
37.0,services,married,secondary,1328,yes,121.0,2,no
41.0,blue-collar,married,primary,8,yes,155.0,2,no
45.0,blue-collar,married,primary,61,no,108.0,1,no
48.0,management,married,tertiary,6613,no,159.0,3,no
48.0,technician,married,secondary,302,yes,208.0,3,no
32.0,blue-collar,married,secondary,1005,no,215.0,1,no
35.0,services,married,secondary,109,yes,597.0,3,no
33.0,management,single,tertiary,1240,yes,505.0,2,no
28.0,blue-collar,single,primary,0,yes,380.0,4,no
64.0,retired,married,unknown,2923,no,120.0,1,no
35.0,technician,married,secondary,0,no,106.0,4,no
33.0,blue-collar,married,secondary,43,yes,332.0,2,no
41.0,technician,married,secondary,288,yes,221.0,4,no
34.0,admin.,married,secondary,613,yes,80.0,1,no
37.0,technician,single,tertiary,6101,no,60.0,5,no
38.0,blue-collar,married,primary,168,yes,212.0,3,no
39.0,blue-collar,married,primary,7685,yes,493.0,3,no
35.0,technician,divorced,tertiary,4515,yes,98.0,2,no
28.0,blue-collar,single,secondary,517,no,681.0,1,yes
27.0,blue-collar,single,secondary,148,no,203.0,1,no
48.0,retired,married,primary,-285,no,157.0,1,no
50.0,blue-collar,married,secondary,887,no,287.0,1,no
45.0,self-employed,married,secondary,3098,yes,159.0,2,no
41.0,technician,married,tertiary,744,yes,125.0,1,no
39.0,technician,married,secondary,130,no,202.0,2,no
44.0,management,married,secondary,438,yes,37.0,3,no
54.0,admin.,married,secondary,0,no,161.0,1,yes
49.0,management,married,tertiary,322,no,72.0,4,no
34.0,blue-collar,single,secondary,186,no,342.0,1,no
75.0,retired,divorced,tertiary,3810,yes,262.0,1,yes
42.0,management,married,tertiary,0,no,325.0,2,no
53.0,blue-collar,married,secondary,4380,no,223.0,7,no
49.0,management,divorced,tertiary,755,no,1212.0,4,yes
31.0,services,single,secondary,2070,no,319.0,2,no
45.0,blue-collar,single,primary,999,no,182.0,2,no
39.0,self-employed,married,secondary,167,yes,330.0,1,no
46.0,technician,married,secondary,1322,yes,514.0,1,no
42.0,admin.,divorced,secondary,1076,yes,213.0,1,no
37.0,management,married,tertiary,502,yes,551.0,1,no
26.0,technician,single,tertiary,1216,yes,472.0,2,no
37.0,management,single,tertiary,876,yes,140.0,4,no
36.0,services,single,secondary,342,yes,142.0,1,no
29.0,blue-collar,single,primary,950,yes,135.0,3,no
36.0,blue-collar,married,primary,973,yes,293.0,1,no
26.0,technician,married,tertiary,3825,yes,107.0,1,no
32.0,blue-collar,married,secondary,2366,yes,127.0,2,no
40.0,management,married,tertiary,542,yes,1816.0,1,no
53.0,management,married,primary,995,no,200.0,3,no
29.0,management,married,tertiary,20,yes,418.0,1,no
34.0,technician,single,tertiary,228,yes,387.0,4,no
43.0,blue-collar,married,secondary,130,no,156.0,1,no
56.0,management,married,tertiary,217,no,121.0,2,no
55.0,entrepreneur,divorced,tertiary,0,no,108.0,2,no
31.0,self-employed,married,tertiary,259,yes,47.0,1,no
27.0,admin.,single,secondary,619,yes,16.0,5,no
36.0,management,married,secondary,644,yes,54.0,2,no
44.0,management,married,tertiary,22,yes,265.0,2,no
37.0,admin.,divorced,tertiary,4303,yes,168.0,1,no
30.0,admin.,single,secondary,239,yes,115.0,3,no
42.0,technician,single,secondary,275,no,31.0,8,no
30.0,management,married,tertiary,1221,yes,279.0,4,yes
62.0,retired,married,secondary,816,no,28.0,2,no
24.0,blue-collar,married,secondary,1222,yes,369.0,1,no
31.0,technician,married,secondary,2363,yes,247.0,1,no
66.0,retired,married,tertiary,2262,no,155.0,1,no
47.0,admin.,married,secondary,2,no,89.0,1,no
39.0,entrepreneur,married,tertiary,2,yes,180.0,1,no
35.0,technician,married,secondary,4508,yes,854.0,1,yes
35.0,admin.,divorced,secondary,-402,yes,46.0,1,no
27.0,technician,married,secondary,1577,yes,266.0,2,no
32.0,blue-collar,married,secondary,34,yes,321.0,2,no
44.0,management,married,tertiary,795,no,99.0,24,no
42.0,blue-collar,married,secondary,117,yes,147.0,1,no
25.0,services,single,secondary,402,no,264.0,1,no
40.0,technician,single,secondary,641,no,156.0,6,no
43.0,management,divorced,tertiary,36,no,118.0,1,no
55.0,unemployed,married,tertiary,383,no,343.0,3,no
50.0,blue-collar,married,secondary,283,yes,226.0,3,no
45.0,management,divorced,tertiary,0,no,5.0,1,no
35.0,blue-collar,divorced,secondary,3102,yes,138.0,1,no
32.0,blue-collar,married,secondary,889,yes,185.0,1,yes
59.0,housemaid,married,secondary,0,no,722.0,1,no
34.0,self-employed,married,secondary,-370,yes,748.0,1,no
39.0,management,married,tertiary,-606,yes,142.0,1,no
40.0,management,single,secondary,10378,yes,523.0,3,no
36.0,blue-collar,single,primary,1313,yes,8.0,10,no
40.0,management,married,tertiary,8969,yes,153.0,1,no
55.0,self-employed,married,secondary,-196,yes,210.0,2,no
38.0,entrepreneur,married,secondary,15,yes,121.0,1,no
61.0,admin.,married,secondary,4608,no,212.0,1,yes
41.0,management,married,tertiary,666,yes,253.0,3,no
57.0,blue-collar,married,primary,452,yes,139.0,4,no
48.0,blue-collar,married,secondary,149,yes,71.0,1,no
77.0,retired,married,tertiary,7802,no,421.0,1,yes
35.0,services,married,secondary,1453,yes,199.0,1,no
54.0,blue-collar,married,secondary,1480,yes,108.0,1,no
37.0,management,single,unknown,715,yes,247.0,2,no
56.0,management,single,secondary,237,yes,236.0,4,no
40.0,technician,married,secondary,694,yes,97.0,4,no
40.0,management,married,tertiary,0,no,109.0,8,no
54.0,management,married,tertiary,55,yes,112.0,2,no
55.0,housemaid,married,primary,136,yes,15.0,10,no
55.0,services,divorced,secondary,-404,yes,502.0,3,no
52.0,blue-collar,married,primary,779,yes,30.0,3,no
55.0,blue-collar,single,primary,1187,yes,193.0,2,no
33.0,management,married,tertiary,641,yes,347.0,2,no
52.0,blue-collar,married,unknown,826,yes,468.0,2,no
33.0,services,divorced,secondary,991,yes,148.0,1,no
53.0,admin.,married,secondary,1796,no,295.0,1,yes
46.0,admin.,married,secondary,22,no,388.0,6,yes
44.0,technician,single,secondary,244,yes,1735.0,4,yes
48.0,management,divorced,tertiary,1328,yes,339.0,1,no
50.0,housemaid,married,secondary,7317,yes,172.0,1,no
34.0,technician,single,secondary,4943,yes,117.0,2,no
38.0,technician,single,secondary,258,no,587.0,2,no
42.0,management,single,tertiary,515,yes,501.0,2,no
32.0,management,single,tertiary,12607,no,203.0,5,no
58.0,admin.,married,secondary,2,yes,282.0,9,no
31.0,management,married,tertiary,13,no,110.0,5,no
19.0,student,single,primary,103,no,104.0,2,yes
41.0,management,married,tertiary,3872,no,231.0,1,no
31.0,unemployed,married,secondary,296,yes,378.0,3,no
52.0,self-employed,single,primary,217,no,193.0,6,no
42.0,self-employed,divorced,tertiary,360,yes,110.0,5,no
41.0,blue-collar,single,secondary,428,yes,92.0,1,no
30.0,blue-collar,single,secondary,315,no,1407.0,1,yes
38.0,blue-collar,married,secondary,121,yes,168.0,1,no
32.0,management,married,tertiary,820,yes,738.0,3,no
52.0,technician,married,secondary,195,yes,220.0,1,yes
48.0,management,divorced,tertiary,108,yes,89.0,2,no
36.0,management,married,tertiary,-381,yes,30.0,29,no
45.0,unemployed,divorced,primary,757,no,103.0,1,no
34.0,technician,married,tertiary,691,yes,70.0,1,no
36.0,blue-collar,married,primary,1925,yes,904.0,2,yes
34.0,management,married,tertiary,902,yes,159.0,1,no
61.0,retired,married,secondary,5207,no,336.0,1,no
54.0,services,married,secondary,0,no,220.0,1,no
50.0,entrepreneur,married,secondary,665,no,238.0,1,no
